epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.920971932,2.013053803,1.00E-04,0.940504326,0.035176282,8.753531361,0.035176282
1,0.997265465,0.291603036,1.00E-04,0.999335899,0.034938697,9.180185018,0.034938697
2,0.999980468,0.027939883,1.00E-04,1,0.035659909,9.38121161,0.035659909
3,0.999941403,0.0058813,1.00E-04,0.999960935,0.034938697,9.426036931,0.034938697
4,1,0.0018903,1.00E-04,1,0.035499639,9.510431737,0.035499639
5,0.999414028,0.123382829,1.00E-04,0.999902338,0.035579774,9.736609352,0.035579774
6,0.999980466,0.029870385,1.00E-05,1,0.034858562,9.649572188,0.034858562
7,1,0.006747414,1.00E-05,1,0.03533937,9.645732562,0.03533937
8,1,0.003457515,1.00E-05,1,0.034778428,9.674817727,0.034778428
9,1,0.001892214,1.00E-05,1,0.035579774,9.684539899,0.035579774
10,1,0.001014142,1.00E-05,1,0.034698293,9.698403383,0.034698293
11,1,0.000685991,1.00E-06,1,0.03533937,9.692678897,0.03533937
12,1,0.000605406,1.00E-06,1,0.035980447,9.687395579,0.035980447
13,1,0.000529302,1.00E-06,1,0.035179101,9.715426038,0.035179101
14,1,0.000452318,1.00E-06,1,0.034698293,9.706475758,0.034698293
